Time [s];Schweissstrom [A];Schweissspannung [V];Drahtvorschub [m/min];Gasfluss [l/min];Motorstrom [A]
12,9091;53,00;18,90;0,00;0,00;0,00
12,9394;54,00;19,05;0,00;0,00;0,00
12,9697;54,00;19,05;0,00;0,00;0,00
13,0000;53,00;19,05;0,00;0,00;0,00
13,0303;52,00;19,05;0,00;0,00;0,00
13,0606;52,00;19,05;0,00;0,00;0,00
13,0909;52,00;19,05;0,00;0,00;0,00
13,1212;51,00;19,05;0,00;0,00;0,00
13,1515;53,00;19,05;0,00;0,00;0,00
13,1818;53,00;19,05;0,00;0,00;0,00
13,2121;52,00;19,05;0,00;0,00;0,00
13,2424;51,00;19,05;0,00;0,00;0,00
13,2727;52,00;19,05;0,00;0,00;0,00
13,3030;52,00;19,20;0,00;0,00;0,00
13,3333;52,00;19,05;0,00;0,00;0,00
13,3636;53,00;19,05;0,00;0,00;0,00
13,3939;53,00;19,05;0,00;0,00;0,00
13,4242;53,00;18,90;0,00;0,00;0,00
13,4545;52,00;19,05;0,00;0,00;0,00
13,4848;52,00;19,05;0,00;0,00;0,00
13,5152;55,00;19,05;0,00;0,00;0,00
13,5455;54,00;19,05;0,00;0,00;0,00
13,5758;55,00;19,05;0,00;0,00;0,00
13,6061;53,00;19,05;0,00;0,00;0,00
13,6364;53,00;19,05;0,00;0,00;0,00
13,6667;53,00;19,20;0,00;0,00;0,00
13,6970;54,00;18,90;0,00;0,00;0,00
13,7273;54,00;19,05;0,00;0,00;0,00
13,7576;52,00;19,05;0,00;0,00;0,00
13,7879;54,00;19,20;0,00;0,00;0,00
13,8182;54,00;19,05;0,00;0,00;0,00
13,8485;52,00;19,05;0,00;0,00;0,00
13,8788;52,00;19,05;0,00;0,00;0,00
13,9091;52,00;18,90;0,00;0,00;0,00
13,9394;53,00;19,05;0,00;0,00;0,00
13,9697;52,00;19,05;0,00;0,00;0,00
14,0000;53,00;19,05;0,00;0,00;0,00
14,0303;53,00;19,05;0,00;0,00;0,00
14,0606;54,00;19,05;0,00;0,00;0,00
14,0909;55,00;19,05;0,00;0,00;0,00
14,1212;54,00;19,05;0,00;0,00;0,00
14,1515;54,00;19,05;0,00;0,00;0,00
14,1818;51,00;19,05;0,00;0,00;0,00
14,2121;52,00;19,05;0,00;0,00;0,00
14,2424;53,00;19,20;0,00;0,00;0,00
14,2727;52,00;19,05;0,00;0,00;0,00
14,3030;53,00;19,05;0,00;0,00;0,00
14,3333;54,00;19,05;0,00;0,00;0,00
14,3636;52,00;19,05;0,00;0,00;0,00
14,3939;52,00;19,05;0,00;0,00;0,00
14,4242;54,00;19,05;0,00;0,00;0,00
14,4545;53,00;19,05;0,00;0,00;0,00
14,4848;52,00;19,05;0,00;0,00;0,00
14,5152;52,00;19,05;0,00;0,00;0,00
14,5455;51,00;19,05;0,00;0,00;0,00
14,5758;52,00;19,05;0,00;0,00;0,00
14,6061;53,00;19,05;0,00;0,00;0,00
14,6364;54,00;19,05;0,00;0,00;0,00
14,6667;52,00;18,90;0,00;0,00;0,00
14,6970;53,00;19,05;0,00;0,00;0,00
14,7273;52,00;19,05;0,00;0,00;0,00
14,7576;53,00;19,05;0,00;0,00;0,00
14,7879;52,00;19,05;0,00;0,00;0,00
14,8182;53,00;19,20;0,00;0,00;0,00
14,8485;52,00;19,05;0,00;0,00;0,00
14,8788;54,00;19,05;0,00;0,00;0,00
14,9091;53,00;19,05;0,00;0,00;0,00
14,9394;53,00;18,90;0,00;0,00;0,00
14,9697;54,00;19,20;0,00;0,00;0,00
15,0000;52,00;19,05;0,00;0,00;0,00
15,0303;54,00;19,05;0,00;0,00;0,00
15,0606;51,00;19,05;0,00;0,00;0,00
15,0909;52,00;19,05;0,00;0,00;0,00
15,1212;52,00;19,05;0,00;0,00;0,00
15,1515;50,00;19,05;0,00;0,00;0,00
15,1818;53,00;19,20;0,00;0,00;0,00
15,2121;52,00;19,05;0,00;0,00;0,00
15,2424;52,00;19,05;0,00;0,00;0,00
15,2727;52,00;19,05;0,00;0,00;0,00
15,3030;51,00;19,05;0,00;0,00;0,00
15,3333;52,00;19,05;0,00;0,00;0,00
15,3636;51,00;19,05;0,00;0,00;0,00
15,3939;52,00;19,05;0,00;0,00;0,00
15,4242;51,00;19,05;0,00;0,00;0,00
15,4545;52,00;19,05;0,00;0,00;0,00
15,4848;54,00;19,05;0,00;0,00;0,00
15,5152;52,00;19,05;0,00;0,00;0,00
15,5455;54,00;19,05;0,00;0,00;0,00
15,5758;53,00;19,05;0,00;0,00;0,00
15,6061;53,00;19,05;0,00;0,00;0,00
15,6364;53,00;19,05;0,00;0,00;0,00
15,6667;54,00;19,05;0,00;0,00;0,00
15,6970;54,00;19,05;0,00;0,00;0,00
15,7273;53,00;19,05;0,00;0,00;0,00
15,7576;53,00;19,05;0,00;0,00;0,00
15,7879;54,00;19,05;0,00;0,00;0,00
15,8182;53,00;18,90;0,00;0,00;0,00
15,8485;51,00;19,05;0,00;0,00;0,00
15,8788;53,00;19,05;0,00;0,00;0,00
15,9091;54,00;19,20;0,00;0,00;0,00
15,9394;52,00;19,05;0,00;0,00;0,00
15,9697;51,00;19,05;0,00;0,00;0,00
16,0000;53,00;19,05;0,00;0,00;0,00
16,0303;53,00;19,05;0,00;0,00;0,00
16,0606;54,00;19,05;0,00;0,00;0,00
16,0909;52,00;19,05;0,00;0,00;0,00
16,1212;51,00;19,05;0,00;0,00;0,00
16,1515;53,00;19,05;0,00;0,00;0,00
16,1818;54,00;19,05;0,00;0,00;0,00
16,2121;53,00;19,05;0,00;0,00;0,00
16,2424;54,00;19,05;0,00;0,00;0,00
16,2727;53,00;19,05;0,00;0,00;0,00
16,3030;51,00;19,05;0,00;0,00;0,00
